175,GUJARAT,RAJKOT,KUNDARIYA MOHANBHAI KALYANJIBHAI,BHARATIYA JANATA PARTY,621524
176,GUJARAT,RAJKOT,KUNVARJIBHAI MOHANBHAI BAVALIYA,INDIAN NATIONAL CONGRESS,375096
177,GUJARAT,RAJKOT,JIVANBHAI DEVAJIBHAI PARMAR,BAHUJAN SAMAJ PARTY,12653
178,GUJARAT,RAJKOT,ANKUR AMRUTKUMAR DHAMELIYA(PATEL),AAM AADMI PARTY,10785
179,GUJARAT,RAJKOT,VINODBHAI PRAGJIBHAI NAGANI,INDEPENDENT,5752
180,GUJARAT,RAJKOT,BASIRBHAI SULEMANBHAI SAMA,INDEPENDENT,2076
181,GUJARAT,RAJKOT,ANIRUDDHSINH JUVANSINH ZALA,INDEPENDENT,1636
182,GUJARAT,RAJKOT,PRAVINCHANDRA CHUNILAL PAREKH,INDEPENDENT,1562
183,GUJARAT,RAJKOT,POPATBHAI DEVAJIBHAI CHAVDA (BHUVA),INDEPENDENT,1408
184,GUJARAT,RAJKOT,ROHITBHAI MOHANBHAI SAGATHIYA,BAHUJAN MUKTI PARTY,1344
185,GUJARAT,RAJKOT,NARENDRABHAI MAHAJAN,INDEPENDENT,1161
186,GUJARAT,RAJKOT,PATHAN BISMILLAKHAN ABDULKHAN (BABAKHAN PATHAN),INDEPENDENT,1080
187,GUJARAT,RAJKOT,JITENDRA BHURABHAI CHAUHAN,REPUBLICAN PARTY OF INDIA (KHOBRAGADE),990
188,GUJARAT,RAJKOT,DENGADA PRAVINBHAI MEGHAJIBHAI,REPUBLICAN PARTY OF INDIA (A),945
189,GUJARAT,RAJKOT,RAJESHBHAI LAVJIBHAI PIPALVA,LOKTANTRIK RASHRTAVADI PARTY,808
190,GUJARAT,RAJKOT,NONE OF THE ABOVE,NONE OF THE ABOVE,18249
191,GUJARAT,PORBANDAR,RADADIYA VITHALBHAI HANSRAJBHAI,BHARATIYA JANATA PARTY,508437
192,GUJARAT,PORBANDAR,JADEJA KANDHALBHAI SARMANBHAI,NATIONALIST CONGRESS PARTY,240466
