CANDIDATE,PARTY,CONSTITUENCY,VOTES
"GUDIVADA AMARNADH","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",ANAKAPALLI,520531
"KRUPAL BALAJI TUMANE",SHIVSENA,RAMTEK,519892
"KAMLA PATLE","BHARATIYA JANATA PARTY",JANJGIR-CHAMPA,518909
"G M SIDDESHWARA","BHARATIYA JANATA PARTY",DAVANAGERE,518894
RAMYA,"INDIAN NATIONAL CONGRESS",MANDYA,518852
"SWAMI SACHCHIDANAND HARI SAKSHI","BHARATIYA JANATA PARTY",UNNAO,518834
"LILADHARBHAI KHODAJI VAGHELA","BHARATIYA JANATA PARTY",PATAN,518538
"SANTOSH KUMAR GANGWAR","BHARATIYA JANATA PARTY",BAREILLY,518258
"SHARAD BANSODE","BHARATIYA JANATA PARTY",SOLAPUR,517879
"KONERU RAJENDRA PRASAD","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",VIJAYAWADA,517834
"JYOTIRADITYA M SCINDIA","INDIAN NATIONAL CONGRESS",GUNA,517036
N.MD.FAROOK,"TELUGU DESAM",NANDYAL,516645
"KALYAN BANERJEE","ALL INDIA TRINAMOOL CONGRESS",SRERAMPUR,514933
"HARSIMRAT KAUR BADAL","SHIROMANI AKALI DAL",BATHINDA,514727
"SATISH KUMAR","BHARATIYA JANATA PARTY",ALIGARH,514622
"THOTA NARASIMHAM","TELUGU DESAM",KAKINADA,514402
"ASADUDDIN OWAISI","ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN",HYDERABAD,513868
"BHARATHI MOHAN R.K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",MAYILADUTHURAI,513729
"CHUDASAMA RAJESHBHAI NARANBHAI","BHARATIYA JANATA PARTY",JUNAGADH,513179
"PRAHALAD SINGH PATEL","BHARATIYA JANATA PARTY",DAMOH,513079
"APPA ALIAS SHRIRANG CHANDU BARNE",SHIVSENA,MAVAL,512226
"JASVANTSINH SUMANBHAI BHABHOR","BHARATIYA JANATA PARTY",DAHOD,511111
"CHALAMALASETTY SUNIL","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",KAKINADA,510971
"UDHAYA KUMAR .M","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",DINDIGUL,510462
PARASURAMAN.K,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",THANJAVUR,510307
"H.D. DEVEGOWDA","JANATA DAL (SECULAR)",HASSAN,509841
"JADHAV PRATAPRAO GANPATRAO",SHIVSENA,BULDHANA,509145
"B.B. PATIL","TELANGANA RASHTRA SAMITHI",ZAHIRABAD,508661
"ABHISHEK BANERJEE","ALL INDIA TRINAMOOL CONGRESS","DIAMOND HARBOUR",508481
"RADADIYA VITHALBHAI HANSRAJBHAI","BHARATIYA JANATA PARTY",PORBANDAR,508437
"CHAUHAN PRABHATSINH PRATAPSINH","BHARATIYA JANATA PARTY",PANCHMAHAL,508274
"AHIR HANSRAJ GANGARAM","BHARATIYA JANATA PARTY",CHANDRAPUR,508049
"CHAUDHARY HARIBHAI PARTHIBHAI","BHARATIYA JANATA PARTY",BANASKANTHA,507856
"MALLIKARJUN KHARGE","INDIAN NATIONAL CONGRESS",GULBARGA,507193
"DUDDUKUNTA SREEDHAR REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",HINDUPUR,506966
"CHARANJEET SINGH RORI","INDIAN NATIONAL LOK DAL",SIRSA,506370
"KOLUSU PARTHA SARATHY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",MACHILIPATNAM,506223
"VINOD KUMAR BOINAPALLY","TELANGANA RASHTRA SAMITHI",KARIMNAGAR,505783
"PRATHAP SIMHA","BHARATIYA JANATA PARTY",MYSORE,503908
"KESHAV PRASAD MAURYA","BHARATIYA JANATA PARTY",PHULPUR,503564
"CHANDU LAL SAHU (CHANDU BHAIYA)","BHARATIYA JANATA PARTY",MAHASAMUND,503514
V.ELUMALAI,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",ARANI,502721
"ARJUN CHARAN SETHI","BIJU JANATA DAL",BHADRAK,502338
"AJIT JOGI","INDIAN NATIONAL CONGRESS",MAHASAMUND,502297
"S.S. MALLIKARJUN","INDIAN NATIONAL CONGRESS",DAVANAGERE,501287
"VANAROJA R","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",TIRUVANNAMALAI,500751
"DHAS SURESH RAMCHANDRA","NATIONALIST CONGRESS PARTY",BEED,499541
"SUMEDHANAND SARASWATI","BHARATIYA JANATA PARTY",SIKAR,499428
"MARAGATHAM K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",KANCHEEPURAM,499395
"JANARDHANA POOJARY","INDIAN NATIONAL CONGRESS","DAKSHINA KANNADA",499030
"CHAUDHARI TUSHARBHAI AMARSINHBHAI","INDIAN NATIONAL CONGRESS",BARDOLI,498885
"DHARMENDRA YADAV","SAMAJWADI PARTY",BADAUN,498378
"RAMESH BIDHURI","BHARATIYA JANATA PARTY","SOUTH DELHI",497980
"KALRAJ MISHRA","BHARATIYA JANATA PARTY",DEORIA,496500
"MANPREET SINGH BADAL S/O GURDAS SINGH","INDIAN NATIONAL CONGRESS",BATHINDA,495332
"HANUMANTH RAO MYNAMPALLY","TELANGANA RASHTRA SAMITHI",MALKAJGIRI,494965
"BIJOY CHANDRA BARMAN","ALL INDIA TRINAMOOL CONGRESS",JALPAIGURI,494773
"PRATIMA MONDAL","ALL INDIA TRINAMOOL CONGRESS",JOYNAGAR,494746
"GODSE HEMANT TUKARAM",SHIVSENA,NASHIK,494735
"DUSHYANT CHAUTALA","INDIAN NATIONAL LOK DAL",HISAR,494478
"RAMESWAR TELI","BHARATIYA JANATA PARTY",DIBRUGARH,494364
"RAJEN GOHAIN","BHARATIYA JANATA PARTY",NOWGONG,494146
"HARI G.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",ARAKKONAM,493534
"MOHAMMAD ASRARUL HAQUE","INDIAN NATIONAL CONGRESS",KISHANGANJ,493461
"VINAYAK BHAURAO RAUT",SHIVSENA,RATNAGIRI,493088
"ASHOK SHANKARRAO CHAVAN","INDIAN NATIONAL CONGRESS",NANDED,493075
"IDRIS ALI","ALL INDIA TRINAMOOL CONGRESS",BASIRHAT,492326
"LALLU SINGH","BHARATIYA JANATA PARTY",FAIZABAD,491761
"DILIP PATEL","BHARATIYA JANATA PARTY",ANAND,490829
"DEEPENDER SINGH HOODA","INDIAN NATIONAL CONGRESS",ROHTAK,490063
"MOHITE PATIL VIJAYSINH SHANKARRAO","NATIONALIST CONGRESS PARTY",MADHA,489989
"RINKU NASKAR","COMMUNIST PARTY OF INDIA (MARXIST)",MATHURAPUR,489325
"DIMPLE YADAV","SAMAJWADI PARTY",KANNAUJ,489164
"COL. SONA RAM","BHARATIYA JANATA PARTY",BARMER,488747
"C.NARAYANA SWAMY","INDIAN NATIONAL CONGRESS","BANGALORE NORTH",488562
"PRASUN BANERJEE","ALL INDIA TRINAMOOL CONGRESS",HOWRAH,488461
S.S.AHLUWALIA,"BHARATIYA JANATA PARTY",DARJEELING,488257
"SANTOSH AHLAWAT","BHARATIYA JANATA PARTY",JHUNJHUNU,488182
"SHER SINGH GHUBAYA","SHIROMANI AKALI DAL",FIROZPUR,487932
"DR. JITENDRA SINGH","BHARATIYA JANATA PARTY",UDHAMPUR,487369
"KUNWAR BHARTENDRA","BHARATIYA JANATA PARTY",BIJNOR,486913
"KARADI SANGANNA AMARAPPA","BHARATIYA JANATA PARTY",KOPPAL,486383
"RAMEN DEKA","BHARATIYA JANATA PARTY",MANGALDOI,486357
"NIRANJAN JYOTI","BHARATIYA JANATA PARTY",FATEHPUR,485994
"SHATRUGHANA SINHA","BHARATIYA JANATA PARTY","PATNA SAHIB",485905
"RESHAM MALVIYA","INDIAN NATIONAL CONGRESS",BANSWARA,485517
"KUNWER SARVESH KUMAR","BHARATIYA JANATA PARTY",MORADABAD,485224
"POONAMBEN HEMATBHAI MAADAM","BHARATIYA JANATA PARTY",JAMNAGAR,484412
"SREEMATI DEV VARMA (MOON MOON SEN)","ALL INDIA TRINAMOOL CONGRESS",BANKURA,483455
"SATYA NARAYAN SHARMA (SATTU BHAIYA)","INDIAN NATIONAL CONGRESS",RAIPUR,483276
"SAUGATA ROY","ALL INDIA TRINAMOOL CONGRESS","DUM DUM",483244
"CAPTAIN AMARINDER SINGH","INDIAN NATIONAL CONGRESS",AMRITSAR,482876
"RAJENDRAN S","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",VILUPPURAM,482704
"LAXMI NARAYAN YADAV","BHARATIYA JANATA PARTY",SAGAR,482580
